ID Pedido,ID Cliente,ID Producto,Unidades,Fecha Pedido,Fecha Envío,Prioridad,ID Canal
PE001,CL00151,PRO009,1324,2023/07/14,2023/09/17,Media,CA002
PE002,CL00273,PRO003,312,2023/09/08,2023/10/18,Baja,CA002
PE003,CL00390,PRO006,264,2023/02/18,2023/03/16,Alta,CA001
PE004,CL00408,PRO0010,1445,2023/02/23,2023/04/19,Media,CA001
PE005,CL00397,PRO007,192,2022/02/15,2022/04/20,Baja,CA001
PE006,CL00274,PRO001,294,2020/01/03,2020/02/03,Media,CA002
PE007,CL00260,PRO009,187,2021/07/28,2021/08/19,Alta,CA002
PE008,CL00172,PRO0012,1455,2023/09/11,2023/11/09,Media,CA002
PE009,CL00398,PRO004,717,2020/06/09,2020/08/06,Crítica,CA002
PE0010,CL0025,PRO0011,916,2020/08/21,2020/10/23,Media,CA002
PE0011,CL00283,PRO007,573,2020/02/18,2020/03/22,Alta,CA001
PE0012,CL0073,PRO008,218,2020/10/20,2020/11/14,Baja,CA001
PE0013,CL00134,PRO002,928,2021/08/03,2021/10/02,Crítica,CA002
PE0014,CL00294,PRO007,540,2023/12/03,2024/01/31,Alta,CA002
PE0015,CL00464,PRO005,1435,2021/11/25,2021/12/17,Media,CA001
PE0016,CL00395,PRO007,1276,2022/12/21,2023/01/31,Baja,CA001
PE0017,CL00424,PRO001,351,2023/02/01,2023/03/16,Baja,CA001
PE0018,CL0013,PRO0010,893,2022/04/07,2022/04/21,Alta,CA001
PE0019,CL0011,PRO009,967,2020/12/15,2020/12/29,Alta,CA001
PE0020,CL00293,PRO0012,796,2020/01/01,2020/02/05,Crítica,CA001
PE0021,CL00374,PRO0010,720,2020/07/05,2020/08/16,Crítica,CA002
PE0022,CL00329,PRO003,402,2020/10/14,2020/11/11,Media,CA001
PE0023,CL00195,PRO001,968,2023/02/09,2023/02/15,Alta,CA002
PE0024,CL00417,PRO006,1309,2023/05/08,2023/05/13,Baja,CA002
PE0025,CL00256,PRO007,569,2023/01/17,2023/03/17,Baja,CA001
PE0026,CL0075,PRO0010,1122,2020/01/10,2020/02/23,Alta,CA002
PE0027,CL00207,PRO006,1037,2020/12/09,2021/01/23,Alta,CA002
PE0028,CL00272,PRO001,1063,2021/06/10,2021/07/04,Alta,CA002
PE0029,CL00496,PRO0011,1213,2023/12/22,2024/01/15,Crítica,CA002
PE0030,CL00135,PRO0011,485,2021/05/22,2021/06/26,Crítica,CA002
