ID Venta,ID Pedido,Venta Bruta,Venta Neta
VE001,PE001,862202,167155
VE002,PE002,64178,27640
VE003,PE003,12527,4134
VE004,PE004,222617,91223
VE005,PE005,83942,33383
VE006,PE006,44859,16211
VE007,PE007,121776,23609
VE008,PE008,972333,241137
VE009,PE009,6690,1728
VE0010,PE0010,100100,67271
VE0011,PE0011,250516,99628
VE0012,PE0012,17817,5463
VE0013,PE0013,391514,53082
VE0014,PE0014,236088,93890
VE0015,PE0015,366327,137559
VE0016,PE0016,557867,221858
VE0017,PE0017,53556,19354
VE0018,PE0018,137576,56375
VE0019,PE0019,629720,122084
VE0020,PE0020,531943,131921
VE0021,PE0021,110923,45454
VE0022,PE0022,82691,35613
VE0023,PE0023,147697,53376
VE0024,PE0024,62112,20499
VE0025,PE0025,248767,98932
VE0026,PE0026,172855,70832
VE0027,PE0027,49206,16239
VE0028,PE0028,162193,58614
VE0029,PE0029,132557,89083
VE0030,PE0030,53001,35618
VE0031,PE0031,229508,31117
VE0032,PE0032,332119,124714
VE0033,PE0033,328290,123276
VE0034,PE0034,197076,74004
VE0035,PE0035,266692,106061
VE0036,PE0036,144813,62367
VE0037,PE0037,556785,107944
VE0038,PE0038,132800,54418
VE0039,PE0039,193471,69918
VE0040,PE0040,190272,81946
VE0041,PE0041,149127,28911
VE0042,PE0042,9899,2557
VE0043,PE0043,4889,1263
VE0044,PE0044,137584,92461
VE0045,PE0045,25148,8300
VE0046,PE0046,795127,154151
VE0047,PE0047,109826,73807
VE0048,PE0048,109171,73367
VE0049,PE0049,162687,66665
VE0050,PE0050,85020,57136
VE0051,PE0051,15564,5136
VE0052,PE0052,284127,106692
VE0053,PE0053,35844,24088
VE0054,PE0054,168759,67114
VE0055,PE0055,366837,137751
VE0056,PE0056,515459,204993
VE0057,PE0057,618818,153466
VE0058,PE0058,89413,27416
VE0059,PE0059,613850,83226
VE0060,PE0060,265818,105713
VE0061,PE0061,193166,69807
VE0062,PE0062,534535,72472
VE0063,PE0063,170698,69948
VE0064,PE0064,168334,22823
VE0065,PE0065,216988,81481
VE0066,PE0066,174704,71589
VE0067,PE0067,399108,54111
VE0068,PE0068,161297,108397
VE0069,PE0069,29831,9147
VE0070,PE0070,949464,184072
VE0071,PE0071,628842,155952
VE0072,PE0072,151126,56749
VE0073,PE0073,285100,122786
VE0074,PE0074,64549,8752
VE0075,PE0075,187187,80617
VE0076,PE0076,887463,220089
VE0077,PE0077,23725,7830
VE0078,PE0078,82897,35702
VE0079,PE0079,463111,114851
VE0080,PE0080,848527,164504
VE0081,PE0081,7417,1916
VE0082,PE0082,2696,696
VE0083,PE0083,99559,42878
VE0084,PE0084,535378,72587
VE0085,PE0085,130335,53408
VE0086,PE0086,9253,3054
VE0087,PE0087,232235,100018
VE0088,PE0088,561347,139213
VE0089,PE0089,218765,89645
VE0090,PE0090,227649,82269
VE0091,PE0091,121533,37264
VE0092,PE0092,36062,11902
VE0093,PE0093,593718,236115
VE0094,PE0094,69879,21426
VE0095,PE0095,4208,1087
VE0096,PE0096,191125,47399
VE0097,PE0097,27770,10035
VE0098,PE0098,107311,32904
VE0099,PE0099,75680,27349
VE00100,PE00100,221846,90907
VE00101,PE00101,14221,4360
VE00102,PE00102,120143,36838
VE00103,PE00103,315152,42728
VE00104,PE00104,153679,57708
VE00105,PE00105,62932,19296
VE00106,PE00106,181504,68156
VE00107,PE00107,7725,1995
VE00108,PE00108,105892,71163
VE00109,PE00109,64722,21360
VE00110,PE00110,126000,84676
VE00111,PE00111,275432,118622
VE00112,PE00112,32675,21959
VE00113,PE00113,301510,58454
VE00114,PE00114,22823,7532
VE00115,PE00115,58696,19371
VE00116,PE00116,327269,122893
VE00117,PE00117,161584,21908
VE00118,PE00118,692328,171696
VE00119,PE00119,99304,37290
VE00120,PE00120,550435,218902
VE00121,PE00121,108843,73146
VE00122,PE00122,122522,44277
VE00123,PE00123,81434,30579
VE00124,PE00124,276113,53530
VE00125,PE00125,75845,23256
VE00126,PE00126,296125,111198
VE00127,PE00127,157155,67683
VE00128,PE00128,601615,81567
VE00129,PE00129,286463,38839
VE00130,PE00130,173816,74859
VE00131,PE00131,507589,201863
VE00132,PE00132,25939,9374
VE00133,PE00133,223541,91602
VE00134,PE00134,891472,221084
VE00135,PE00135,21685,7157
VE00136,PE00136,320887,120496
VE00137,PE00137,22730,15276
VE00138,PE00138,231824,99841
VE00139,PE00139,306069,59338
VE00140,PE00140,7744,2000
VE00141,PE00141,157310,56849
VE00142,PE00142,30812,9448
